Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","10uF","C_0805_2012Metric",-133.604000,-62.738000,180.000000,bottom
"C2","22pF","C_0805_2012Metric",-115.062000,-81.026000,180.000000,bottom
"C3","22pF","C_0805_2012Metric",-115.062000,-74.168000,0.000000,bottom
"C4","0.1uF","C_0805_2012Metric",-133.604000,-66.802000,180.000000,bottom
"C5","0.1uF","C_0805_2012Metric",-133.604000,-64.770000,180.000000,bottom
"C6","1uF","C_0805_2012Metric",-114.046000,-90.000000,90.000000,bottom
"D1","DIODEDO-1N4148","D_SOD-323F",-150.000000,-90.000000,0.000000,bottom
"D2","DIODEDO-1N4148","D_SOD-323F",-150.000000,-109.600000,0.000000,bottom
"D3","DIODEDO-1N4148","D_SOD-323F",-150.000000,-129.200000,0.000000,bottom
"D4","DIODEDO-1N4148","D_SOD-323F",-130.400000,-90.000000,0.000000,bottom
"D5","DIODEDO-1N4148","D_SOD-323F",-130.400000,-109.600000,0.000000,bottom
"D6","DIODEDO-1N4148","D_SOD-323F",-130.400000,-129.200000,0.000000,bottom
"D7","DIODEDO-1N4148","D_SOD-323F",-169.600000,-90.000000,0.000000,bottom
"D8","DIODEDO-1N4148","D_SOD-323F",-169.600000,-109.600000,0.000000,bottom
"D9","DIODEDO-1N4148","D_SOD-323F",-169.600000,-129.200000,0.000000,bottom
"F1","Polyfuse_Small","Fuse_1206_3216Metric",-139.700000,-66.548000,0.000000,bottom
"R1","22","R_0805_2012Metric",-118.618000,-90.000000,-90.000000,bottom
"R2","22","R_0805_2012Metric",-116.332000,-90.000000,-90.000000,bottom
"R3","10k","R_0805_2012Metric",-133.604000,-68.834000,0.000000,bottom
"R4","5.1k","R_0805_2012Metric",-147.828000,-69.342000,0.000000,bottom
"R5","5.1k","R_0805_2012Metric",-152.654000,-69.342000,180.000000,bottom
"R7","10k","R_0805_2012Metric",-117.348000,-107.950000,90.000000,bottom
"RESET1","SW_Push","SW_SPST_TL3342",-124.968000,-65.786000,180.000000,bottom
"U1","ATmega32U2-AU","TQFP-32_7x7mm_P0.8mm",-116.840000,-99.568000,180.000000,bottom
"U2","SRV05-4","SOT-23-6",-139.700000,-63.246000,180.000000,bottom
"X1","Crystal_GND24_Small","Crystal_SMD_3225-4Pin_3.2x2.5mm",-115.062000,-77.470000,180.000000,bottom
