Comment,Designator,Footprint,LCSC Part #
10uF,C1,C_0805_2012Metric,C91245
22pF,"C2,C3",C_0805_2012Metric,C1804
0.1uF,"C4,C5",C_0805_2012Metric,C49678
1uF,C6,C_0805_2012Metric,C28323
DIODEDO-1N4148,"D1,D2,D3,D4,D5,D6,D7,D8,D9",D_SOD-323,C2128
Polyfuse_Small,F1,Fuse_1206_3216Metric,C69688
22,"R1,R2",R_0805_2012Metric,C17561
10k,"R3,R7",R_0805_2012Metric,C17414
5.1k,"R4,R5",R_0805_2012Metric,C27834
CHERRY-MX-ENCODER,RE_0_1,CHERRY-MX-ENCODER,
CHERRY-MX-ENCODER,"RE_3_1,RE_3_2",CHERRY-MX-ENCODER,
SW_Push,RESET1,SW_SPST_TL3342,C318884
MOMENTARY-SWITCH-SPST-LED-PTH-CHERRY,"S1,S2,S3,S4,S5,S6",CHERRY-MX,
ATmega32U2-AU,U1,TQFP-32_7x7mm_P0.8mm,C618733
SRV05-4,U2,SOT-23-6,C85364
USB_C_Receptacle_USB2.0,USB1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948
Crystal_GND24_Small,X1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C13738
